140,141,142,143,144,145,193,161,141,142,143,144,145,193,193,161,140,141,142,143,144,145,419,420,-1,-1,-1,-1,-1,-1
172,173,174,175,176,177,194,162,173,174,175,176,177,194,194,162,172,173,174,175,176,177,451,452,-1,-1,-1,-1,-1,-1
204,205,206,140,141,142,143,144,145,206,207,208,209,141,142,143,144,145,206,207,208,209,419,420,-1,-1,-1,-1,-1,-1
236,237,238,172,173,174,175,176,177,238,239,240,241,173,174,175,176,177,238,239,240,241,451,452,-1,-1,-1,-1,-1,-1
268,269,270,204,205,206,207,208,209,270,271,272,273,205,206,207,208,209,270,271,272,273,419,420,-1,-1,-1,-1,-1,-1
300,301,302,236,237,238,239,240,241,302,303,304,305,237,238,239,240,241,302,303,304,305,451,452,-1,-1,-1,-1,-1,-1
140,141,142,143,144,145,271,272,273,193,193,161,268,269,270,271,272,273,193,161,193,161,419,420,-1,-1,-1,-1,-1,-1
172,173,174,175,176,177,303,304,305,194,194,162,300,301,302,303,304,305,194,162,194,162,451,452,-1,-1,-1,-1,-1,-1
204,205,206,207,208,209,142,143,144,145,262,263,264,265,264,265,264,265,264,265,481,482,483,484,-1,-1,-1,-1,-1,-1
236,237,238,239,240,241,174,175,176,177,294,295,296,297,296,297,296,297,296,297,513,514,515,516,-1,-1,-1,-1,-1,-1
268,269,270,271,272,273,206,207,208,209,326,327,68,69,68,69,68,69,68,69,68,69,86,87,-1,-1,-1,-1,-1,-1
142,143,144,145,304,305,238,239,240,241,358,359,100,101,100,101,100,101,100,101,100,101,118,119,-1,-1,-1,-1,-1,-1
174,175,176,177,268,269,270,271,272,273,486,487,488,489,168,169,168,169,168,169,168,169,259,260,-1,-1,72,73,161,162
206,207,208,209,300,301,302,303,304,305,518,519,520,521,200,201,200,201,200,201,200,201,291,292,-1,-1,104,105,193,194
238,239,240,241,140,141,142,143,144,145,83,84,68,69,68,69,68,69,68,69,68,69,323,324,-1,-1,72,73,161,162
270,271,272,273,172,173,174,175,176,177,115,116,100,101,100,101,100,101,100,101,100,101,355,356,-1,-1,104,105,193,194
302,303,304,305,144,145,206,207,208,209,147,148,132,133,132,133,132,133,132,133,132,133,72,73,-1,-1,72,73,161,162
172,173,174,175,176,177,238,239,240,241,179,180,164,165,164,165,164,165,164,165,164,165,104,105,-1,-1,104,105,193,194
204,205,206,207,208,209,270,271,272,273,141,142,143,144,145,162,161,162,161,162,161,162,72,73,-1,-1,72,73,161,162
236,237,238,239,240,241,302,303,304,305,173,174,175,176,177,194,193,194,193,194,193,194,104,105,-1,-1,104,105,193,194
268,269,270,271,272,273,142,143,144,145,205,206,207,208,209,143,144,145,161,162,161,162,486,487,481,482,483,484,161,162
300,301,302,303,304,305,174,175,176,177,141,142,143,144,145,175,176,177,193,194,193,194,518,519,513,514,515,516,193,194
140,141,142,143,144,145,142,143,144,145,173,174,175,176,177,207,140,141,142,143,144,145,83,84,69,68,86,87,161,162
172,173,174,175,176,177,174,175,176,177,205,206,207,208,209,239,172,173,174,175,176,177,115,116,101,100,118,119,193,194
204,205,206,207,208,209,206,207,208,209,237,238,239,240,241,271,140,141,142,143,144,145,147,148,133,132,150,151,161,162
236,237,238,239,240,241,238,239,240,241,269,270,271,161,162,145,172,173,174,175,176,177,179,180,165,164,182,183,193,194
268,269,270,271,272,273,270,271,272,273,301,302,303,193,194,177,204,205,206,207,208,209,193,194,193,194,193,194,161,162
300,301,302,303,304,305,302,303,304,305,204,205,206,207,208,209,236,237,238,239,240,241,161,162,161,162,161,162,193,194
168,169,168,169,168,169,168,169,168,169,168,169,168,169,168,169,168,169,168,169,168,169,168,169,168,169,168,169,168,169
200,201,200,201,200,201,200,201,200,201,200,201,200,201,200,201,200,201,200,201,200,201,200,201,200,201,200,201,200,201
